region,precio_mediana,salario_joven_region,precio_real_2020,tasa_inicial_pct,cuota_mensual,salario_joven_mensual,cuota_pct_salario,accesible
North East,149950.0,21550.05,131882.14599824097,6.04291495638789,771.5826559142912,1795.8374999999999,0.42965059807153555,False
North West,195000.0,23071.23,171503.95778364115,6.04291495638789,1002.274525324949,1922.6025,0.5213113606816536,False
Yorkshire and The Humber,190000.0,22310.64,167106.42040457344,6.04291495638789,976.6705442582834,1859.22,0.5253119825831711,False
Wales,199950.0,22817.7,175857.5197889182,6.04291495638789,1027.6224665809482,1901.4750000000001,0.5404343820354978,False
West Midlands,235000.0,23071.23,206684.25681618293,6.04291495638789,1207.1063738582748,1922.6025,0.6278502050518892,False
East Midlands,240000.0,23324.760000000002,211081.79419525067,6.04291495638789,1232.7103549249407,1943.7300000000002,0.6341983479829711,False
South West,309500.0,24085.35,272207.563764292,6.04291495638789,1588.6056917515937,2007.1125,0.791488116262339,False
East of England,340000.0,25606.53,299032.5417766051,6.04291495638789,1744.7899762582545,2133.8775,0.8176617337491278,False
South East,377500.0,26874.18,332014.072119613,6.04291495638789,1936.8198342582468,2239.515,0.8648389648018642,False
London,515000.0,31691.25,452946.35004397534,6.04291495638789,2640.929313591553,2640.9375,0.9999969001884949,False
