anio,precio_promedio_real,salario_mediana_real,salario_joven_nacional
1999,137401,31551.55,25404.97497856258
2000,145756,32443.92,26123.501882046556
2001,163517,33357.5,26859.10685362213
2002,199821,33898.44,27294.66603106044
2003,224849,34155.19,27501.398420618032
2004,247493,34630.76,27884.322364150285
2005,249549,34950.06,28141.41935338393
2006,262390,34576.58,27840.697200114333
2007,269297,34114.51,27468.64331406612
2008,223507,34337.23,27647.975106869504
2009,229553,35399.83,28503.56940928002
2010,220496,33938.03,27326.543481119188
2011,212111,32524.53,26188.40820306793
2012,203407,31967.65,25740.014305904024
2013,212183,31656.55,25489.51987010512
2014,225514,31159.83,25089.566169847873
2015,232759,31307.83,25208.734207450692
2016,237955,31420.16,25299.181137612348
2017,234936,30939.54,24912.190987391623
2018,230887,30772.44,24777.64383142249
2019,227812,30833.95,24827.171034077553
2020,239753,31487.0,25353.0
