anio,region,n_transacciones,precio_medio,precio_mediana,salario_mediana_real,salario_joven_nacional,factor_regional,salario_joven_region,tmax_anom,tmin_anom,lluvia_anom,sol_anom,af_anom,precio_var_pct,anos_salario
2015,East Midlands,86170,186686.17555993964,157500.0,31307.83,25208.734207450692,0.92,23192.035470854637,1.0003378378378383,0.7423423423423419,-6.180180180180173,3.1499999999999773,-18.45945945945946,,6.791124487453022
2016,East Midlands,92306,196291.41992936537,165000.0,31420.16,25299.181137612348,0.92,23275.246646603362,0.7253378378378379,0.7673423423423413,3.936486486486487,-3.7916666666666856,-12.45945945945946,4.761904761904767,7.089076326676823
2017,East Midlands,92767,210646.5849925081,178000.0,30939.54,24912.190987391623,0.92,22919.215708400294,0.9420045045045065,1.2590090090090085,-1.8301801801801787,-9.38333333333334,-14.45945945945946,7.878787878787885,7.7664088625318835
2018,East Midlands,91765,219741.54549120035,185500.0,30772.44,24777.64383142249,0.92,22795.432324908692,1.267004504504504,0.9590090090090095,-0.9968468468468501,6.474999999999994,-8.45945945945946,4.2134831460674205,8.137595170647549
2019,East Midlands,89086,222895.28655456525,190000.0,30833.95,24827.171034077553,0.92,22840.99735135135,1.0836711711711722,0.8506756756756753,16.253153153153157,4.533333333333331,-21.45945945945946,2.42587601078168,8.318375816840545
2020,East Midlands,78078,236787.8728066805,202500.0,31487.0,25353.0,0.92,23324.760000000002,0.6503378378378368,-0.2993243243243233,-11.946846846846846,36.69166666666666,-34.45945945945946,6.578947368421062,8.681761355743852
2015,East of England,117960,273149.2725415395,235000.0,31307.83,25208.734207450692,1.01,25460.8215495252,0.885883431085043,0.6616080156402742,-5.391098484848484,,-17.955112598904442,,9.229867133033746
2016,East of England,119175,292851.13399622403,255000.0,31420.16,25299.181137612348,1.01,25552.17294898847,0.677550097751709,0.4282746823069399,-4.332765151515147,,-12.455112598904442,8.51063829787233,9.979581795609858
2017,East of England,117041,312592.53081398824,275000.0,30939.54,24912.190987391623,1.01,25161.31289726554,0.6858834310850437,0.8949413489736076,4.550568181818186,,-15.955112598904442,7.843137254901955,10.929477373570846
2018,East of England,112201,318128.03792301315,280000.0,30772.44,24777.64383142249,1.01,25025.420269736715,1.0858834310850423,0.5949413489736068,-4.399431818181817,,-15.455112598904442,1.8181818181818077,11.188623287122354
